iter	Passed	Remaining
408	6416	9271
409	6428	9251
410	6440	9230
411	6451	9208
412	6463	9187
413	6474	9164
414	6486	9143
415	6497	9120
416	6509	9101
417	6521	9080
418	6533	9060
419	6545	9039
420	6557	9018
421	6571	9000
422	6585	8982
423	6598	8963
424	6612	8946
425	6624	8925
426	6636	8905
427	6651	8889
428	6662	8867
429	6674	8848
430	6689	8830
431	6704	8815
432	6718	8797
433	6735	8783
434	6801	8834
435	6828	8832
436	6893	8880
437	6961	8932
438	6978	8917
439	6999	8908
440	7017	8895
441	7039	8887
442	7054	8869
443	7068	8851
444	7087	8839
445	7108	8830
446	7144	8838
447	7163	8826
448	7180	8812
449	7195	8795
450	7211	8778
451	7226	8761
452	7240	8743
453	7255	8726
454	7272	8710
455	7286	8692
456	7303	8677
457	7319	8661
458	7340	8651
459	7360	8640
460	7362	8608
461	7379	8593
462	7400	8583
463	7423	8575
464	7441	8561
465	7457	8545
466	7475	8531
467	7492	8516
468	7512	8505
469	7533	8494
470	7550	8480
471	7569	8468
472	7585	8451
473	7605	8439
474	7620	8423
475	7641	8412
476	7660	8399
477	7675	8381
478	7690	8364
479	7705	8347
480	7725	8335
481	7740	8318
482	7754	8300
483	7758	8271
484	7775	8255
485	7791	8239
486	7809	8226
487	7825	8210
488	7843	8196
489	7858	8179
490	7873	8162
491	7890	8147
492	7907	8132
493	7923	8116
494	7936	8097
495	7949	8078
496	7963	8059
497	7976	8040
498	7989	8021
499	8003	8003
500	8015	7983
501	8027	7963
502	8042	7946
503	8056	7928
504	8069	7909
505	8086	7894
506	8100	7876
507	8117	7862
508	8132	7845
509	8150	7830
510	8164	7813
511	8180	7796
512	8194	7779
513	8208	7761
514	8223	7744
515	8238	7727
516	8253	7710
517	8268	7693
518	8283	7676
519	8295	7657
520	8314	7644
521	8333	7630
522	8347	7613
523	8362	7596
524	8377	7579
525	8393	7563
526	8409	7547
527	8429	7535
528	8442	7517
529	8456	7498
530	8469	7481
531	8482	7461
532	8496	7444
533	8514	7430
534	8529	7413
535	8545	7397
536	8557	7378
537	8571	7360
538	8583	7341
539	8595	7322
540	8608	7303
541	8620	7284
542	8635	7267
543	8648	7249
544	8662	7232
545	8674	7213
546	8687	7194
547	8699	7175
548	8712	7157
549	8725	7139
550	8739	7121
551	8752	7103
552	8763	7084
553	8776	7065
554	8788	7046
555	8799	7027
556	8813	7009
557	8830	6994
558	8844	6977
559	8859	6960
560	8878	6947
561	8896	6933
562	8916	6920
563	8933	6905
564	8950	6891
565	8964	6873
566	8980	6857
567	8993	6840
568	9012	6826
569	9026	6809
570	9040	6792
571	9056	6776
572	9070	6759
573	9084	6742
574	9098	6724
575	9109	6705
576	9123	6688
577	9137	6671
578	9150	6653
579	9163	6635
580	9175	6617
581	9189	6600
582	9201	6581
583	9217	6565
584	9234	6550
585	9248	6533
586	9261	6516
587	9276	6499
588	9291	6483
589	9307	6467
590	9321	6450
591	9333	6432
592	9347	6415
593	9362	6399
594	9375	6381
595	9387	6363
596	9400	6345
597	9412	6327
598	9428	6311
599	9440	6293
600	9453	6276
601	9464	6257
602	9475	6238
603	9477	6213
604	9490	6196
605	9505	6180
606	9522	6165
607	9537	6148
608	9550	6132
609	9565	6115
610	9579	6099
611	9597	6084
612	9610	6067
613	9626	6051
614	9640	6034
615	9653	6017
616	9668	6001
617	9683	5985
618	9698	5969
619	9713	5953
620	9730	5938
621	9746	5923
622	9760	5906
623	9777	5891
624	9791	5874
625	9806	5858
626	9820	5842
627	9832	5824
628	9849	5809
629	9864	5793
630	9882	5778
631	9897	5763
632	9914	5748
633	9933	5734
634	9951	5720
635	9969	5705
636	9985	5690
637	10002	5675
638	10016	5658
639	10030	5642
640	10044	5625
641	10059	5609
642	10075	5594
643	10091	5578
644	10106	5562
645	10120	5546
646	10135	5529
647	10148	5512
648	10161	5495
649	10174	5478
650	10191	5463
651	10205	5447
652	10219	5430
653	10233	5414
654	10247	5397
655	10260	5380
656	10274	5364
657	10288	5347
658	10304	5332
659	10317	5315
660	10334	5299
661	10351	5285
662	10368	5270
663	10383	5254
664	10403	5240
665	10419	5225
666	10441	5212
667	10457	5197
668	10472	5181
669	10488	5166
670	10505	5151
671	10524	5137
672	10541	5121
673	10557	5106
674	10575	5092
675	10594	5077
676	10611	5062
677	10628	5047
678	10646	5033
679	10664	5018
680	10680	5003
681	10695	4987
682	10711	4971
683	10729	4957
684	10744	4941
685	10760	4925
686	10777	4910
687	10793	4894
688	10807	4878
689	10821	4862
690	10837	4846
691	10850	4829
692	10866	4813
693	10880	4797
694	10897	4782
695	10912	4766
696	10927	4750
697	10944	4735
698	10959	4719
699	10974	4703
700	10990	4688
701	11005	4671
702	11018	4654
703	11034	4639
704	11050	4623
705	11066	4608
706	11080	4592
707	11097	4576
708	11113	4561
709	11128	4545
710	11144	4529
711	11158	4513
712	11171	4496
713	11187	4481
714	11201	4465
715	11214	4448
716	11227	4431
717	11240	4414
718	11253	4397
719	11267	4381
720	11281	4365
721	11293	4348
722	11306	4331
723	11322	4316
724	11337	4300
725	11352	4284
726	11370	4269
727	11385	4253
728	11401	4238
729	11420	4224
730	11436	4208
731	11452	4192
732	11467	4176
733	11482	4161
734	11498	4145
735	11516	4130
736	11532	4115
737	11550	4100
738	11564	4084
739	11580	4068
740	11595	4053
741	11614	4038
742	11628	4022
743	11644	4006
744	11659	3990
745	11676	3975
746	11691	3959
747	11706	3943
748	11719	3927
749	11733	3911
750	11747	3895
751	11761	3878
752	12100	3969
753	12115	3952
754	12134	3937
755	12153	3922
756	12172	3907
757	12226	3903
758	12252	3890
759	12278	3877
760	12295	3861
761	12315	3846
762	12332	3830
763	12354	3816
764	12375	3801
765	12396	3786
766	12413	3770
767	12433	3755
768	12451	3740
769	12468	3724
770	12483	3707
771	12502	3692
